Id,Label,Troll
6,"EVS Codec Technologies, LLC",1
7,"Gateway, Inc.",0
8,Sandisk Corporation,0
10,"Thrillist Media Group, Inc.",0
11,Haier Group Corporation,0
12,Regions Financial Corporation,0
14,Labyrinth Optical Technologies LLC,1
15,Digitude Innovations LLC,1
16,"SoundHound, Inc.",0
18,Avigilon Corporation,0
19,"Lighthouse Consulting Group, LLC",1
23,Hopewell Culture & Design LLC,1
27,"Harmonix Music Systems, Inc.",0
28,"Wolf Run Hollow, LLC",1
32,"Liberty Patents, LLC",1
33,Double Rock Corporation,1
34,"Apple Computer, Inc.",0
35,Anu IP LLC,1
37,"Blockbuster, Inc.",0
42,Red River Innovations LLC,1
47,"Avon Products, Inc.",0
48,Intexact Technologies Limited,1
53,"Motile Optics, LLC",1
54,"Highfive Technologies, Inc.",0
55,"Townshend Intellectual Property, L.L.C.",1
58,"Zimmer, Inc.",0
61,Epic IP LLC,1
62,"A9.com, Inc.",0
67,Boston Scientific Corporation,0
68,Wave Linx LLC,1
70,LGRT Pro LLC,1
71,"Menard, Inc.",0
75,Match.Com LLC,0
76,"XO Communications, LLC",0
79,"Sprint Solutions, Inc.",0
80,"Siemens Industry, Inc.",0
81,"Evolved Wireless, LLC",1
82,"Elia Data of Texas, LLC",1
84,"Things Remembered, Inc.",0
85,STMicroelectronics N.V.,0
87,"Azpen Innovation, Inc.",0
88,"Traxcell Technologies, LLC",1
89,"Implicit, LLC",1
91,"Texas Capital Bancshares, Inc.",0
92,"Acronis, Inc.",0
94,"Turner Digital Basketball Services, Inc.",0
97,"Oriental Trading Company, Inc.",0
98,"CityGrid Media, LLC",0
99,"TigerDirect, Inc.",0
100,"Under Armour, Inc.",0
103,"E-MDs, Inc.",0
104,LifePort Sciences LLC,1
107,"Humana, Inc.",0
108,Hotels.com LP,0
113,The Procter & Gamble Company,0
114,"Leapfrog Enterprises, Inc.",0
115,Exelon Corporation,0
116,Blackboard Inc.,0
117,Cumberland Systems LLC,1
118,"WatchGuard Technologies, Inc.",0
119,Summit 6 LLC,1
121,"Tumblr, Inc.",0
125,Eclipse IP LLC,1
127,"Travelocity.com, Inc.",0
128,"Gesture Technology Partners, LLC",1
129,"PanOptis Patent Management, LLC",1
130,Blue Water Investment LLC,1
132,"Fitbit, Inc.",0
133,"Belfer Cosmetics, LLC",1
135,"Harley-Davidson, Inc.",0
137,Joao Control & Monitoring Systems LLC,1
138,Spycurity LLC,1
139,"Jive Software, Inc.",0
140,"Millennium, L.P.",1
142,Citibank (South Dakota) N.A.,0
145,"BMW of North America, LLC",0
150,"Eyetalk365, LLC",1
151,"Capcom U.S.A., Inc.",0
152,"The TJX Companies, Inc.",0
159,"Super Micro Computer, Inc.",0
164,Webtech Wireless (USA) Inc.,0
165,"Barnes & Noble, Inc.",0
172,New Cingular Wireless Services Inc.,0
174,blackberry,0
177,"DSS Technology Management, Inc.",1
178,Polo Ralph Lauren Corporation,0
181,"Z-Dimensional, LLC",1
187,Stormborn Technologies LLC,1
190,"Target Brands, Inc.",0
193,"Motiva Patents, LLC",1
195,Bluestone Innovations Texas LLC,1
198,Screentone Systems Corporation,1
202,"Avisena, Inc.",0
203,"SolarWinds, Inc.",0
204,"Conn's, Inc.",0
210,Blueprint IP Solutions LLC,1
211,Circuit Ventures LLC,1
215,EMC Corporation,0
216,Modern Font Applications,1
220,"MySpace, Inc.",0
222,Wordlogic Corporation,1
224,Realtime Data LLC,1
231,Reflection Code LLC,1
232,"VideoSqope, LLC",1
233,Caddo Systems Inc.,1
235,"QualiQode, LLC",1
240,"Radio One, Inc.",0
241,"Cook Medical, Inc.",0
242,"Morningstar, Inc.",0
245,Advanced Optical Tracking LLC,1
246,"Xirgo Technologies, LLC",0
247,"Infor, Inc.",0
249,Kaleasy Tech LLC,1
267,Hyatt Hotels Corporation,0
269,Soverain Software LLC,1
270,"Digital Playground, Inc.",0
271,"Belkin International, Inc.",0
276,Yamaha Corporation (of America),0
277,JPMorgan Chase & Co.,0
279,Wistron InfoComm (Texas) Corporation,0
281,Phoenix Digital Solutions LLC,1
282,"Carucel Investments, L.P.",1
283,"NEC Technologies, Inc.",0
285,"EMSAT Advanced Geo-Location Technology, LLC",1
287,"Sentius International, LLC",1
289,"Footlocker.com, Inc.",0
290,"Papa John's International, Inc.",0
292,Safeco Corporation,0
293,"Proven Networks, LLC",1
298,Red Pine Point LLC,1
299,"Millennium Commerce, LLC",1
300,"Bed Bath & Beyond, Inc.",0
301,"SERVICE ELECTRIC TELEVISION, INC.",0
302,"Lorex Technology, Inc.",0
304,"Telinit Technologies, LLC",1
305,Cigna Health and Life Insurance Company,0
306,"Arris Solutions, Inc.",0
307,Bench Walk Lighting LLC,1
309,"Chico's FAS, Inc.",0
311,JG Technologies LLC,1
314,toyota,1
315,"Realnetworks, Inc.",0
316,S.A.N. Nutrition Corp.,0
320,Compass Bank,0
321,The New York Times Company,0
323,Rmail Limited,1
325,Deere & Co,0
326,Unify Inc.,0
327,ASUS Computer International,0
328,"Jaguar Land Rover North America, LLC",0
330,Lululemon Athletica Inc.,0
331,"Third Dimension Semiconductor, Inc",1
337,SmartDisk Corporation,1
338,MacNeil IP LLC,1
339,Fleetmatics USA Inc,0
340,"Pizza Hut, Inc.",0
342,WebMD LLC,0
343,Papst Licensing GmbH & Co. KG,1
344,BB&T Corporation,0
345,huawei,0
347,"IP Co., LLC",1
348,"Eastbay, Inc.",0
349,"BMW Manufacturing Co., LLC",0
351,Vibrant Media Inc.,0
354,Fujifilm North America Corporation,0
355,"Marvell Asia Pte., Ltd",0
356,"Communications Patents, Ltd.",1
361,M2M Solutions LLC,1
363,Cinemark USA Inc,0
365,Paradise IP LLC,1
367,Beck Branch LLC,1
369,Razer USA Ltd.,0
371,Bluebonnet Telecommunications L.L.C.,1
376,BNSF Railway Company,0
380,"DataTern, Inc.",1
381,"Supersonic, Inc.",0
387,"Gymboree Retail Stores, Inc.",0
393,Kinglite Holdings Inc.,1
394,SmartPhone Technologies LLC,1
395,Document Generation Corporation,1
396,"Build-A-Bear Workshop, Inc.",0
399,"Valentine Communications, LLC",1
400,"PJC Logistics, LLC",1
401,"Roku, Inc.",0
403,BMO Harris Bank N.A.,0
405,"T.M. Patents, L.P.",1
407,UTC Fire & Security Corporation,0
408,Safeway Inc.,0
410,Quest Licensing Corporation,1
412,"Tendler Cellular of Texas, LLC",1
415,TPV Technology Ltd,0
418,"Ubiquitous Connectivity, LP",1
420,iLife Technologies Inc,1
421,"The Broadvox Holding Company, LLC",0
422,Paramount Pictures Corporation,0
423,"Magtek, Inc.",0
425,"Kevique Technology, LLC",1
432,"TravelZoo, Inc.",0
436,Mobile Transformation LLC,1
437,Wells Fargo & Company,0
440,InfoSonics Corporation,0
441,Swirlate IP LLC,1
447,Verve L. L. C.,1
448,Service Reminder LLC,1
449,American Vehicular Sciences LLC,1
450,Bonutti Skeletal Innovations LLC,1
451,"Level 3 Communications, LLC",0
453,Canon Inc.,0
454,Express Card Systems LLC,1
456,Infineon Technologies AG,0
459,"Slack Technologies, Inc.",0
460,"Photonic Imaging Solutions, Inc.",1
464,Viewsonic Corporation,0
466,Webvention Holdings LLC,1
468,"Starwood Hotels & Resorts Worldwide, Inc.",0
469,"WideOpenWest Finance, LLC",0
470,dell,0
473,Venadium LLC,1
478,"SoftVault Systems, Inc.",1
479,Burger King Corporation,0
480,Vehicle IP LLC,1
481,"Virgin America, Inc.",0
483,Security Research Holdings LLC,1
491,"Mercedes Benz U.S. International, Inc.",0
494,ZTE (TX) Inc.,0
498,"Alcatel-Lucent Holdings, Inc.",0
499,"SFA Systems, LLC",1
500,"2-Way Computing, Inc.",1
504,Acacia Research Corporation,1
506,Source Inc,1
509,Hypermedia Navigation LLC,1
512,Ablaise Ltd.,1
513,MSI Computer Corp.,0
514,MCM Portfolio LLC,1
518,"Inventergy LBS, LLC",1
520,"Gateway Companies, Inc.",0
522,Visual Land Inc.,0
523,Opal Run LLC,1
524,"Hubspot, Inc.",0
525,Sapphire Dolphin LLC,1
527,CyberFone Systems LLC,1
528,"AI Automation, LLC",1
530,RCN Corporation,0
531,National City Bank,0
537,"Oakley, Inc.",0
539,Sunset Licensing LLC,1
540,"Altigen Communications, Inc.",0
541,"Hybrid Patents, Inc.,",1
546,Cablevision Systems Corporation,0
549,"Academy, Ltd.",0
551,TD Bank US Holding Company,0
553,"Enfora, Inc.",0
554,Priceplay.com Inc.,1
555,"International License Exchange of America, LLC",1
558,Voxernet LLC,0
563,EchoStar Technologies LLC,0
566,"Barracuda Networks, Inc.",0
567,"Cascades Computer Innovation, LLC",1
568,Kohl's Corporation,0
569,"Canon Financial Services, Inc.",0
571,Oracle Corporation,0
575,"Mouser Electronics, Inc.",0
576,"Analog Devices, Inc.",0
577,"Hybrid Audio, LLC",1
579,"Nordstrom, Inc.",0
580,"Honda Manufacturing of Alabama, LLC",0
582,"Marshall Feature Recognition, LLC",1
584,Etagz,1
586,"SpeakWare, Inc.",1
589,"Lycos, Inc.",0
591,"Visa U.S.A., Inc.",0
