Source,Target,Type,TimeInterval,Label,Category
579,492,directed,"<[2002, 2004)>",7,5.0
579,369,directed,"<[2002, 2004)>",9,5.0
613,560,directed,"<[2000, 2002)>",49,1.0
51,32,directed,"<[2000, 2002)>",73,4.0
303,32,directed,"<[2000, 2002)>",75,4.0
474,2,directed,"<[2000, 2002)>",77,4.0
474,432,directed,"<[2000, 2002)>",78,4.0
474,2,directed,"<[2000, 2002)>",79,4.0
474,432,directed,"<[2000, 2002)>",80,4.0
181,560,directed,"<[2000, 2002)>",87,5.0
303,266,directed,"<[2000, 2002)>",105,4.0
303,626,directed,"<[2000, 2002)>",114,4.0
303,53,directed,"<[2000, 2002)>",117,4.0
303,526,directed,"<[2000, 2002)>",118,4.0
51,266,directed,"<[2000, 2002)>",136,4.0
51,626,directed,"<[2000, 2002)>",145,4.0
51,53,directed,"<[2000, 2002)>",148,4.0
51,526,directed,"<[2000, 2002)>",149,4.0
303,514,directed,"<[2000, 2002)>",160,4.0
51,514,directed,"<[2000, 2002)>",163,4.0
286,616,directed,"<[2000, 2002)>",181,5.0
554,620,directed,"<[2002, 2004)>",275,5.0
554,581,directed,"<[2002, 2004)>",276,5.0
423,487,directed,"<[2002, 2004)>",278,1.0
423,159,directed,"<[2002, 2004)>",287,1.0
91,160,directed,"<[2000, 2002)>",300,5.0
381,53,directed,"<[2002, 2004)>",321,5.0
597,526,directed,"<[2000, 2002)>",322,1.0
176,159,directed,"<[2002, 2004)>",341,1.0
176,590,directed,"<[2002, 2004)>",342,1.0
597,159,directed,"<[2002, 2004)>",347,1.0
597,590,directed,"<[2002, 2004)>",348,1.0
6,486,directed,"<[2002, 2004)>",374,1.0
6,267,directed,"<[2000, 2002)>",378,1.0
6,432,directed,"<[2000, 2002)>",380,1.0
597,544,directed,"<[2002, 2004)>",389,1.0
176,544,directed,"<[2002, 2004)>",391,1.0
641,486,directed,"<[2002, 2004)>",405,5.0
641,487,directed,"<[2002, 2004)>",406,5.0
641,267,directed,"<[2002, 2004)>",408,5.0
381,53,directed,"<[2002, 2004)>",413,5.0
143,391,directed,"<[2002, 2004)>",416,5.0
143,369,directed,"<[2002, 2004)>",420,5.0
597,526,directed,"<[2002, 2004)>",421,1.0
597,267,directed,"<[2002, 2004)>",422,1.0
176,526,directed,"<[2002, 2004)>",423,1.0
176,267,directed,"<[2002, 2004)>",424,1.0
554,79,directed,"<[2002, 2004)>",425,5.0
575,492,directed,"<[2000, 2002)>",427,5.0
575,227,directed,"<[2000, 2002)>",431,5.0
575,492,directed,"<[2000, 2002)>",439,5.0
575,227,directed,"<[2002, 2004)>",448,5.0
575,369,directed,"<[2002, 2004)>",449,5.0
597,560,directed,"<[2002, 2004)>",452,1.0
176,560,directed,"<[2002, 2004)>",453,1.0
450,558,directed,"<[2000, 2002)>",454,5.0
441,486,directed,"<[2002, 2004)>",458,1.0
602,267,directed,"<[2002, 2004)>",463,1.0
597,486,directed,"<[2002, 2004)>",469,1.0
597,160,directed,"<[2002, 2004)>",470,1.0
176,486,directed,"<[2002, 2004)>",473,1.0
176,160,directed,"<[2002, 2004)>",474,1.0
393,526,directed,"<[2002, 2004)>",477,5.0
393,486,directed,"<[2002, 2004)>",480,5.0
450,558,directed,"<[2002, 2004)>",504,5.0
386,227,directed,"<[2002, 2004)>",505,5.0
386,391,directed,"<[2002, 2004)>",507,5.0
386,369,directed,"<[2002, 2004)>",511,5.0
386,492,directed,"<[2002, 2004)>",514,5.0
106,391,directed,"<[2002, 2004)>",517,5.0
72,32,directed,"<[2002, 2004)>",522,5.0
8,432,directed,"<[2000, 2002)>",536,5.0
8,2,directed,"<[2000, 2002)>",537,5.0
5,32,directed,"<[2000, 2002)>",540,5.0
8,32,directed,"<[2000, 2002)>",543,5.0
5,267,directed,"<[2000, 2002)>",544,5.0
8,267,directed,"<[2000, 2002)>",545,5.0
8,160,directed,"<[2000, 2002)>",546,5.0
5,160,directed,"<[2000, 2002)>",547,5.0
8,514,directed,"<[2000, 2002)>",551,5.0
8,626,directed,"<[2000, 2002)>",552,5.0
5,514,directed,"<[2000, 2002)>",554,5.0
5,626,directed,"<[2000, 2002)>",555,5.0
8,486,directed,"<[2000, 2002)>",559,5.0
91,160,directed,"<[2000, 2002)>",562,5.0
91,492,directed,"<[2000, 2002)>",563,5.0
245,391,directed,"<[2002, 2004)>",569,1.0
245,227,directed,"<[2002, 2004)>",570,1.0
8,599,directed,"<[2002, 2004)>",574,5.0
5,599,directed,"<[2002, 2004)>",575,5.0
91,558,directed,"<[2002, 2004)>",582,5.0
602,626,directed,"<[2002, 2004)>",597,1.0
5,526,directed,"<[2002, 2004)>",598,5.0
8,526,directed,"<[2002, 2004)>",603,5.0
450,558,directed,"<[2000, 2002)>",611,5.0
450,558,directed,"<[2000, 2002)>",613,5.0
554,79,directed,"<[2002, 2004)>",614,5.0
554,620,directed,"<[2002, 2004)>",615,5.0
554,581,directed,"<[2002, 2004)>",616,5.0
554,620,directed,"<[2002, 2004)>",619,5.0
554,581,directed,"<[2002, 2004)>",620,5.0
554,79,directed,"<[2002, 2004)>",622,5.0
554,581,directed,"<[2002, 2004)>",624,5.0
