Source,Target,Type,TimeInterval,Label,Category
1423,5370,directed,"<[2002, 2004)>",2,5.0
1423,2943,directed,"<[2002, 2004)>",3,5.0
1423,4731,directed,"<[2002, 2004)>",4,5.0
1423,4109,directed,"<[2002, 2004)>",6,5.0
1423,4744,directed,"<[2002, 2004)>",7,5.0
1423,2233,directed,"<[2002, 2004)>",8,5.0
1423,5366,directed,"<[2002, 2004)>",9,5.0
1423,854,directed,"<[2002, 2004)>",10,5.0
1423,2770,directed,"<[2002, 2004)>",11,5.0
1423,5225,directed,"<[2002, 2004)>",12,5.0
1423,2404,directed,"<[2002, 2004)>",13,5.0
1423,4213,directed,"<[2002, 2004)>",14,5.0
1423,3777,directed,"<[2002, 2004)>",16,5.0
1423,645,directed,"<[2002, 2004)>",17,5.0
5867,456,directed,"<[2002, 2004)>",19,1.0
4227,456,directed,"<[2002, 2004)>",20,1.0
5094,3604,directed,"<[2002, 2004)>",22,5.0
706,5884,directed,"<[2002, 2004)>",25,5.0
706,3519,directed,"<[2002, 2004)>",26,5.0
706,2246,directed,"<[2002, 2004)>",27,5.0
706,270,directed,"<[2002, 2004)>",29,5.0
706,785,directed,"<[2002, 2004)>",30,5.0
5658,305,directed,"<[2002, 2004)>",31,1.0
5658,31,directed,"<[2002, 2004)>",32,1.0
5658,2735,directed,"<[2002, 2004)>",33,1.0
5195,5036,directed,"<[2002, 2004)>",36,5.0
5195,1183,directed,"<[2002, 2004)>",37,5.0
5195,1354,directed,"<[2002, 2004)>",39,5.0
4867,5345,directed,"<[2002, 2004)>",40,5.0
1489,4566,directed,"<[2002, 2004)>",41,5.0
706,410,directed,"<[2002, 2004)>",42,5.0
706,5884,directed,"<[2002, 2004)>",44,5.0
5129,2114,directed,"<[2002, 2004)>",46,5.0
5094,1865,directed,"<[2004, 2006)>",48,5.0
5094,791,directed,"<[2004, 2006)>",49,5.0
5094,5575,directed,"<[2004, 2006)>",50,5.0
5094,3785,directed,"<[2004, 2006)>",51,5.0
5094,4345,directed,"<[2004, 2006)>",52,5.0
5094,2845,directed,"<[2004, 2006)>",53,5.0
5094,3604,directed,"<[2004, 2006)>",55,5.0
4326,5394,directed,"<[2004, 2006)>",57,1.0
4326,3881,directed,"<[2004, 2006)>",58,1.0
4326,129,directed,"<[2004, 2006)>",59,1.0
4326,304,directed,"<[2004, 2006)>",60,1.0
4326,1000,directed,"<[2004, 2006)>",61,1.0
4326,5751,directed,"<[2004, 2006)>",62,1.0
4326,5675,directed,"<[2004, 2006)>",63,1.0
4326,4047,directed,"<[2004, 2006)>",64,1.0
4326,1986,directed,"<[2004, 2006)>",65,1.0
5284,2100,directed,"<[2004, 2006)>",66,4.0
4326,5712,directed,"<[2004, 2006)>",68,1.0
4326,4801,directed,"<[2004, 2006)>",70,1.0
4326,4554,directed,"<[2004, 2006)>",74,1.0
4326,2233,directed,"<[2004, 2006)>",77,1.0
4326,3894,directed,"<[2004, 2006)>",78,1.0
4326,946,directed,"<[2004, 2006)>",79,1.0
433,3045,directed,"<[2004, 2006)>",80,1.0
1687,1957,directed,"<[2004, 2006)>",82,5.0
3530,4718,directed,"<[2004, 2006)>",83,1.0
3530,876,directed,"<[2004, 2006)>",84,1.0
3530,4217,directed,"<[2004, 2006)>",85,1.0
3530,353,directed,"<[2004, 2006)>",86,1.0
3530,2760,directed,"<[2004, 2006)>",88,1.0
3530,5366,directed,"<[2004, 2006)>",89,1.0
3530,4320,directed,"<[2004, 2006)>",90,1.0
3530,311,directed,"<[2004, 2006)>",92,1.0
5089,1283,directed,"<[2004, 2006)>",94,5.0
262,2943,directed,"<[2004, 2006)>",95,1.0
262,5366,directed,"<[2004, 2006)>",96,1.0
4865,717,directed,"<[2004, 2006)>",97,5.0
4865,5843,directed,"<[2004, 2006)>",98,5.0
4865,4731,directed,"<[2004, 2006)>",99,5.0
4865,1957,directed,"<[2004, 2006)>",100,5.0
4865,1070,directed,"<[2004, 2006)>",103,5.0
1318,5662,directed,"<[2004, 2006)>",105,1.0
1318,3015,directed,"<[2004, 2006)>",107,1.0
1318,3520,directed,"<[2004, 2006)>",108,1.0
1318,1068,directed,"<[2004, 2006)>",109,1.0
1318,456,directed,"<[2004, 2006)>",110,1.0
1318,1442,directed,"<[2004, 2006)>",111,1.0
1318,2100,directed,"<[2004, 2006)>",112,1.0
1318,3894,directed,"<[2004, 2006)>",113,1.0
1318,3079,directed,"<[2004, 2006)>",114,1.0
1318,4554,directed,"<[2004, 2006)>",115,1.0
1318,3305,directed,"<[2004, 2006)>",116,1.0
1318,6,directed,"<[2004, 2006)>",117,1.0
1318,2728,directed,"<[2004, 2006)>",119,1.0
1318,5665,directed,"<[2004, 2006)>",120,1.0
1318,5045,directed,"<[2004, 2006)>",121,1.0
1318,5372,directed,"<[2004, 2006)>",122,1.0
1318,5305,directed,"<[2004, 2006)>",124,1.0
1318,1715,directed,"<[2004, 2006)>",125,1.0
1318,4039,directed,"<[2004, 2006)>",126,1.0
1318,1456,directed,"<[2004, 2006)>",128,1.0
1318,2735,directed,"<[2004, 2006)>",129,1.0
1318,5627,directed,"<[2004, 2006)>",130,1.0
1318,5305,directed,"<[2004, 2006)>",131,1.0
1318,2735,directed,"<[2004, 2006)>",132,1.0
1318,4554,directed,"<[2004, 2006)>",133,1.0
1318,5627,directed,"<[2004, 2006)>",134,1.0
262,2943,directed,"<[2004, 2006)>",136,1.0
262,5366,directed,"<[2004, 2006)>",137,1.0
1788,3990,directed,"<[2004, 2006)>",138,5.0
1788,2735,directed,"<[2004, 2006)>",139,5.0
2112,4301,directed,"<[2004, 2006)>",141,5.0
2112,843,directed,"<[2004, 2006)>",142,5.0
2112,2543,directed,"<[2004, 2006)>",143,5.0
2112,2245,directed,"<[2004, 2006)>",144,5.0
2112,1267,directed,"<[2004, 2006)>",145,5.0
2112,5532,directed,"<[2004, 2006)>",146,5.0
706,826,directed,"<[2004, 2006)>",149,5.0
327,716,directed,"<[2004, 2006)>",150,4.0
327,2258,directed,"<[2004, 2006)>",151,4.0
1318,2735,directed,"<[2004, 2006)>",152,1.0
1318,5627,directed,"<[2004, 2006)>",153,1.0
1318,5305,directed,"<[2004, 2006)>",154,1.0
1318,5665,directed,"<[2004, 2006)>",155,1.0
1318,3079,directed,"<[2004, 2006)>",157,1.0
1318,4554,directed,"<[2004, 2006)>",158,1.0
1318,5662,directed,"<[2004, 2006)>",159,1.0
1318,3015,directed,"<[2004, 2006)>",160,1.0
1318,456,directed,"<[2004, 2006)>",161,1.0
1318,3520,directed,"<[2004, 2006)>",162,1.0
1318,1068,directed,"<[2004, 2006)>",163,1.0
1318,6,directed,"<[2004, 2006)>",165,1.0
1318,1442,directed,"<[2004, 2006)>",166,1.0
1318,3894,directed,"<[2004, 2006)>",167,1.0
1318,4801,directed,"<[2004, 2006)>",168,1.0
1318,2233,directed,"<[2004, 2006)>",169,1.0
5032,5022,directed,"<[2004, 2006)>",170,1.0
5032,559,directed,"<[2004, 2006)>",171,1.0
5658,3646,directed,"<[2004, 2006)>",175,1.0
