Source,Target,Type,TimeInterval,Label,Category
1721,2478,directed,"<[2004, 2006)>",193,5.0
3140,3193,directed,"<[2004, 2006)>",194,1.0
3140,740,directed,"<[2004, 2006)>",195,1.0
3140,290,directed,"<[2004, 2006)>",196,1.0
1228,441,directed,"<[2004, 2006)>",199,1.0
2675,2569,directed,"<[2004, 2006)>",200,1.0
1279,3376,directed,"<[2004, 2006)>",201,1.0
1991,2575,directed,"<[2004, 2006)>",202,1.0
3470,2144,directed,"<[2004, 2006)>",206,1.0
3470,768,directed,"<[2004, 2006)>",207,1.0
3470,2570,directed,"<[2004, 2006)>",208,1.0
3470,1286,directed,"<[2004, 2006)>",209,1.0
3470,1749,directed,"<[2004, 2006)>",210,1.0
3470,2955,directed,"<[2004, 2006)>",212,1.0
3470,2091,directed,"<[2004, 2006)>",213,1.0
3470,3267,directed,"<[2004, 2006)>",215,1.0
1522,72,directed,"<[2004, 2006)>",216,5.0
3253,302,directed,"<[2004, 2006)>",221,5.0
3253,1675,directed,"<[2004, 2006)>",222,5.0
3253,2478,directed,"<[2004, 2006)>",224,5.0
3253,484,directed,"<[2004, 2006)>",225,5.0
3253,305,directed,"<[2004, 2006)>",227,5.0
3253,1447,directed,"<[2004, 2006)>",228,5.0
3253,2643,directed,"<[2004, 2006)>",230,5.0
3253,3359,directed,"<[2004, 2006)>",231,5.0
3253,2658,directed,"<[2004, 2006)>",232,5.0
1554,2619,directed,"<[2004, 2006)>",236,1.0
1554,2270,directed,"<[2004, 2006)>",237,1.0
2976,3304,directed,"<[2004, 2006)>",238,1.0
3215,2964,directed,"<[2004, 2006)>",239,1.0
298,2063,directed,"<[2004, 2006)>",240,1.0
2677,199,directed,"<[2004, 2006)>",241,1.0
2677,908,directed,"<[2004, 2006)>",242,1.0
3140,1058,directed,"<[2004, 2006)>",243,1.0
3140,1743,directed,"<[2004, 2006)>",244,1.0
3140,1594,directed,"<[2004, 2006)>",245,1.0
3140,2770,directed,"<[2004, 2006)>",246,1.0
3140,312,directed,"<[2004, 2006)>",247,1.0
3140,3304,directed,"<[2004, 2006)>",249,1.0
3140,2528,directed,"<[2004, 2006)>",250,1.0
3140,3113,directed,"<[2004, 2006)>",253,1.0
3140,3059,directed,"<[2004, 2006)>",254,1.0
3140,639,directed,"<[2004, 2006)>",257,1.0
3140,3200,directed,"<[2004, 2006)>",258,1.0
3140,317,directed,"<[2004, 2006)>",259,1.0
1164,2964,directed,"<[2006, 2008)>",264,4.0
1164,20,directed,"<[2006, 2008)>",265,4.0
1164,50,directed,"<[2006, 2008)>",267,4.0
1164,1552,directed,"<[2006, 2008)>",268,4.0
1164,280,directed,"<[2006, 2008)>",269,4.0
1164,3112,directed,"<[2006, 2008)>",270,4.0
1164,2047,directed,"<[2006, 2008)>",271,4.0
1164,18,directed,"<[2006, 2008)>",273,4.0
1164,1319,directed,"<[2006, 2008)>",274,4.0
1164,2144,directed,"<[2006, 2008)>",275,4.0
1981,1286,directed,"<[2006, 2008)>",276,5.0
1981,1338,directed,"<[2006, 2008)>",277,5.0
1981,2344,directed,"<[2006, 2008)>",278,5.0
1981,1552,directed,"<[2006, 2008)>",279,5.0
1981,2144,directed,"<[2006, 2008)>",280,5.0
1981,2200,directed,"<[2006, 2008)>",282,5.0
1981,2471,directed,"<[2006, 2008)>",283,5.0
1981,768,directed,"<[2006, 2008)>",284,5.0
1981,3412,directed,"<[2006, 2008)>",285,5.0
1981,2955,directed,"<[2006, 2008)>",286,5.0
1981,2678,directed,"<[2006, 2008)>",288,5.0
1981,3267,directed,"<[2006, 2008)>",289,5.0
1981,208,directed,"<[2006, 2008)>",290,5.0
483,229,directed,"<[2006, 2008)>",292,5.0
483,530,directed,"<[2006, 2008)>",294,5.0
483,2715,directed,"<[2006, 2008)>",295,5.0
483,230,directed,"<[2006, 2008)>",297,5.0
1991,208,directed,"<[2006, 2008)>",300,1.0
1721,2038,directed,"<[2006, 2008)>",302,5.0
1721,750,directed,"<[2006, 2008)>",307,5.0
1721,353,directed,"<[2006, 2008)>",311,5.0
1721,3041,directed,"<[2006, 2008)>",312,5.0
1721,3390,directed,"<[2006, 2008)>",313,5.0
1721,1057,directed,"<[2006, 2008)>",314,5.0
1721,240,directed,"<[2006, 2008)>",316,5.0
1721,1856,directed,"<[2006, 2008)>",317,5.0
1721,2523,directed,"<[2006, 2008)>",321,5.0
1721,3403,directed,"<[2006, 2008)>",323,5.0
1721,788,directed,"<[2006, 2008)>",325,5.0
1721,616,directed,"<[2006, 2008)>",326,5.0
1721,2624,directed,"<[2006, 2008)>",327,5.0
3140,2113,directed,"<[2006, 2008)>",328,1.0
3140,433,directed,"<[2006, 2008)>",330,1.0
3140,3031,directed,"<[2006, 2008)>",331,1.0
3140,1339,directed,"<[2006, 2008)>",332,1.0
3140,510,directed,"<[2006, 2008)>",335,1.0
3140,3233,directed,"<[2006, 2008)>",338,1.0
3140,18,directed,"<[2006, 2008)>",339,1.0
3140,652,directed,"<[2006, 2008)>",341,1.0
3140,1510,directed,"<[2006, 2008)>",342,1.0
2327,2258,directed,"<[2006, 2008)>",343,1.0
2327,1163,directed,"<[2006, 2008)>",344,1.0
2327,426,directed,"<[2006, 2008)>",345,1.0
2327,2802,directed,"<[2006, 2008)>",348,1.0
2327,3217,directed,"<[2006, 2008)>",349,1.0
3140,1591,directed,"<[2006, 2008)>",351,1.0
3140,302,directed,"<[2006, 2008)>",352,1.0
3140,1552,directed,"<[2006, 2008)>",353,1.0
3140,2704,directed,"<[2006, 2008)>",354,1.0
3140,2678,directed,"<[2006, 2008)>",355,1.0
2327,1364,directed,"<[2006, 2008)>",361,1.0
1991,2745,directed,"<[2006, 2008)>",362,1.0
1991,2368,directed,"<[2006, 2008)>",363,1.0
1991,324,directed,"<[2006, 2008)>",365,1.0
1991,3376,directed,"<[2006, 2008)>",366,1.0
1991,1775,directed,"<[2006, 2008)>",367,1.0
1991,1297,directed,"<[2006, 2008)>",368,1.0
1991,1527,directed,"<[2006, 2008)>",369,1.0
1991,2632,directed,"<[2006, 2008)>",370,1.0
1991,1195,directed,"<[2006, 2008)>",371,1.0
1991,2481,directed,"<[2006, 2008)>",372,1.0
3417,703,directed,"<[2006, 2008)>",374,5.0
3417,2836,directed,"<[2006, 2008)>",378,5.0
3417,602,directed,"<[2006, 2008)>",383,5.0
1279,2745,directed,"<[2006, 2008)>",386,1.0
1279,2368,directed,"<[2006, 2008)>",387,1.0
1279,2575,directed,"<[2006, 2008)>",388,1.0
1279,2632,directed,"<[2006, 2008)>",389,1.0
3253,2531,directed,"<[2006, 2008)>",390,5.0
3253,1491,directed,"<[2006, 2008)>",392,5.0
3253,2518,directed,"<[2006, 2008)>",395,5.0
3253,1082,directed,"<[2006, 2008)>",396,5.0
3253,2893,directed,"<[2006, 2008)>",397,5.0
3253,1447,directed,"<[2006, 2008)>",399,5.0
3253,2408,directed,"<[2006, 2008)>",400,5.0
3253,2611,directed,"<[2006, 2008)>",405,5.0
3253,988,directed,"<[2006, 2008)>",406,5.0
924,777,directed,"<[2006, 2008)>",410,5.0
924,2376,directed,"<[2006, 2008)>",411,5.0
1417,1956,directed,"<[2006, 2008)>",412,1.0
1417,1286,directed,"<[2006, 2008)>",413,1.0
1331,2964,directed,"<[2006, 2008)>",414,1.0
1991,2632,directed,"<[2006, 2008)>",415,1.0
1,2418,directed,"<[2006, 2008)>",416,5.0
1,1364,directed,"<[2006, 2008)>",417,5.0
2062,2165,directed,"<[2006, 2008)>",419,4.0
250,155,directed,"<[2006, 2008)>",421,5.0
250,179,directed,"<[2006, 2008)>",422,5.0
250,2290,directed,"<[2006, 2008)>",425,5.0
1991,2575,directed,"<[2006, 2008)>",426,1.0
1991,2368,directed,"<[2006, 2008)>",427,1.0
1991,3376,directed,"<[2006, 2008)>",428,1.0
1991,1527,directed,"<[2006, 2008)>",429,1.0
2338,2569,directed,"<[2006, 2008)>",430,1.0
2338,3448,directed,"<[2006, 2008)>",431,1.0
2338,194,directed,"<[2006, 2008)>",432,1.0
2338,1248,directed,"<[2006, 2008)>",433,1.0
2338,1154,directed,"<[2006, 2008)>",435,1.0
2338,2113,directed,"<[2006, 2008)>",436,1.0
2338,18,directed,"<[2006, 2008)>",437,1.0
2020,1272,directed,"<[2006, 2008)>",440,5.0
2020,3463,directed,"<[2006, 2008)>",441,5.0
2020,1555,directed,"<[2006, 2008)>",444,5.0
3253,302,directed,"<[2006, 2008)>",446,5.0
3253,1675,directed,"<[2006, 2008)>",447,5.0
3253,2643,directed,"<[2006, 2008)>",448,5.0
3253,3359,directed,"<[2006, 2008)>",450,5.0
3253,2658,directed,"<[2006, 2008)>",451,5.0
3253,1972,directed,"<[2006, 2008)>",454,5.0
3253,484,directed,"<[2006, 2008)>",460,5.0
2930,2043,directed,"<[2006, 2008)>",463,1.0
2930,1552,directed,"<[2006, 2008)>",464,1.0
2930,3463,directed,"<[2006, 2008)>",465,1.0
2930,3134,directed,"<[2006, 2008)>",468,1.0
2930,2618,directed,"<[2006, 2008)>",469,1.0
2930,2858,directed,"<[2006, 2008)>",471,1.0
2930,3369,directed,"<[2006, 2008)>",472,1.0
2930,1245,directed,"<[2006, 2008)>",473,1.0
2930,2684,directed,"<[2006, 2008)>",480,1.0
2930,900,directed,"<[2006, 2008)>",483,1.0
2930,3402,directed,"<[2006, 2008)>",485,1.0
861,1364,directed,"<[2006, 2008)>",488,1.0
861,2623,directed,"<[2006, 2008)>",489,1.0
861,2964,directed,"<[2006, 2008)>",490,1.0
861,2418,directed,"<[2006, 2008)>",491,1.0
730,2341,directed,"<[2006, 2008)>",492,5.0
730,2964,directed,"<[2006, 2008)>",493,5.0
3140,2806,directed,"<[2006, 2008)>",498,1.0
3140,1154,directed,"<[2006, 2008)>",500,1.0
3140,2268,directed,"<[2006, 2008)>",501,1.0
3140,3267,directed,"<[2006, 2008)>",503,1.0
3140,2570,directed,"<[2006, 2008)>",504,1.0
3140,1749,directed,"<[2006, 2008)>",507,1.0
3140,3076,directed,"<[2006, 2008)>",509,1.0
730,995,directed,"<[2006, 2008)>",511,5.0
730,966,directed,"<[2006, 2008)>",512,5.0
3140,2704,directed,"<[2006, 2008)>",516,1.0
910,2964,directed,"<[2006, 2008)>",519,1.0
3384,278,directed,"<[2006, 2008)>",521,1.0
3384,353,directed,"<[2006, 2008)>",522,1.0
3384,2893,directed,"<[2006, 2008)>",525,1.0
3384,2715,directed,"<[2006, 2008)>",527,1.0
3253,2368,directed,"<[2006, 2008)>",528,5.0
3253,2573,directed,"<[2006, 2008)>",529,5.0
3253,1186,directed,"<[2006, 2008)>",530,5.0
3253,155,directed,"<[2006, 2008)>",531,5.0
3253,2301,directed,"<[2006, 2008)>",532,5.0
3253,3167,directed,"<[2006, 2008)>",533,5.0
3253,2745,directed,"<[2006, 2008)>",534,5.0
3253,3331,directed,"<[2006, 2008)>",535,5.0
3253,2470,directed,"<[2006, 2008)>",537,5.0
3253,228,directed,"<[2006, 2008)>",538,5.0
3253,3041,directed,"<[2006, 2008)>",539,5.0
3253,225,directed,"<[2006, 2008)>",540,5.0
3253,2624,directed,"<[2006, 2008)>",541,5.0
3253,29,directed,"<[2006, 2008)>",542,5.0
3253,1190,directed,"<[2006, 2008)>",543,5.0
3253,3391,directed,"<[2006, 2008)>",544,5.0
3253,711,directed,"<[2006, 2008)>",546,5.0
3253,3023,directed,"<[2006, 2008)>",547,5.0
3253,240,directed,"<[2006, 2008)>",549,5.0
3253,1149,directed,"<[2006, 2008)>",551,5.0
3253,2325,directed,"<[2006, 2008)>",552,5.0
3253,2368,directed,"<[2006, 2008)>",553,5.0
3253,2745,directed,"<[2006, 2008)>",554,5.0
3253,1186,directed,"<[2006, 2008)>",555,5.0
3253,3331,directed,"<[2006, 2008)>",556,5.0
3253,3167,directed,"<[2006, 2008)>",557,5.0
3253,2573,directed,"<[2006, 2008)>",558,5.0
3253,2301,directed,"<[2006, 2008)>",559,5.0
3253,2470,directed,"<[2006, 2008)>",561,5.0
3253,240,directed,"<[2006, 2008)>",562,5.0
3253,2624,directed,"<[2006, 2008)>",563,5.0
3253,3023,directed,"<[2006, 2008)>",564,5.0
3253,2906,directed,"<[2006, 2008)>",565,5.0
3253,225,directed,"<[2006, 2008)>",567,5.0
3253,1190,directed,"<[2006, 2008)>",569,5.0
3253,228,directed,"<[2006, 2008)>",571,5.0
3253,3041,directed,"<[2006, 2008)>",572,5.0
3253,3391,directed,"<[2006, 2008)>",573,5.0
3253,1149,directed,"<[2006, 2008)>",574,5.0
3253,29,directed,"<[2006, 2008)>",575,5.0
3253,711,directed,"<[2006, 2008)>",576,5.0
1404,1370,directed,"<[2000, 2002)>",577,5.0
836,3397,directed,"<[2000, 2002)>",579,1.0
1529,2286,directed,"<[2000, 2002)>",582,4.0
1529,1112,directed,"<[2000, 2002)>",583,4.0
3520,820,directed,"<[2000, 2002)>",584,5.0
3520,2689,directed,"<[2000, 2002)>",585,5.0
1901,820,directed,"<[2000, 2002)>",587,5.0
1901,2689,directed,"<[2000, 2002)>",588,5.0
836,1559,directed,"<[2000, 2002)>",593,1.0
836,2860,directed,"<[2000, 2002)>",594,1.0
3185,2320,directed,"<[2000, 2002)>",595,5.0
3520,820,directed,"<[2002, 2004)>",596,5.0
1901,820,directed,"<[2002, 2004)>",597,5.0
658,3420,directed,"<[2004, 2006)>",604,1.0
658,1136,directed,"<[2004, 2006)>",607,1.0
658,2471,directed,"<[2004, 2006)>",611,1.0
658,3199,directed,"<[2004, 2006)>",617,1.0
658,2107,directed,"<[2004, 2006)>",618,1.0
658,540,directed,"<[2004, 2006)>",619,1.0
658,1243,directed,"<[2004, 2006)>",620,1.0
