Source,Target,Type,TimeInterval,Label,Category
1662,1669,directed,"<[2002, 2004)>",3,5.0
1662,304,directed,"<[2002, 2004)>",4,5.0
1662,1287,directed,"<[2002, 2004)>",6,5.0
1662,319,directed,"<[2002, 2004)>",7,5.0
1662,865,directed,"<[2002, 2004)>",8,5.0
1662,1121,directed,"<[2002, 2004)>",9,5.0
1662,1468,directed,"<[2002, 2004)>",11,5.0
1680,561,directed,"<[2002, 2004)>",19,1.0
1405,561,directed,"<[2002, 2004)>",20,1.0
766,714,directed,"<[2002, 2004)>",22,5.0
840,1696,directed,"<[2002, 2004)>",25,5.0
840,628,directed,"<[2002, 2004)>",26,5.0
1424,357,directed,"<[2002, 2004)>",31,1.0
1424,35,directed,"<[2002, 2004)>",32,1.0
1424,1437,directed,"<[2002, 2004)>",33,1.0
891,1394,directed,"<[2002, 2004)>",37,5.0
458,1087,directed,"<[2002, 2004)>",40,5.0
840,1696,directed,"<[2002, 2004)>",44,5.0
766,1570,directed,"<[2004, 2006)>",53,5.0
766,714,directed,"<[2004, 2006)>",55,5.0
1530,1162,directed,"<[2004, 2006)>",57,1.0
1530,1038,directed,"<[2004, 2006)>",58,1.0
1530,356,directed,"<[2004, 2006)>",60,1.0
1530,1557,directed,"<[2004, 2006)>",62,1.0
1530,1449,directed,"<[2004, 2006)>",63,1.0
1530,1216,directed,"<[2004, 2006)>",64,1.0
1530,577,directed,"<[2004, 2006)>",65,1.0
1530,372,directed,"<[2004, 2006)>",70,1.0
1530,100,directed,"<[2004, 2006)>",74,1.0
1530,865,directed,"<[2004, 2006)>",77,1.0
1530,1056,directed,"<[2004, 2006)>",78,1.0
256,545,directed,"<[2004, 2006)>",82,5.0
644,1121,directed,"<[2004, 2006)>",89,1.0
644,1516,directed,"<[2004, 2006)>",90,1.0
315,1669,directed,"<[2004, 2006)>",95,1.0
315,1121,directed,"<[2004, 2006)>",96,1.0
453,1651,directed,"<[2004, 2006)>",98,5.0
453,304,directed,"<[2004, 2006)>",99,5.0
453,545,directed,"<[2004, 2006)>",100,5.0
453,1260,directed,"<[2004, 2006)>",103,5.0
1568,37,directed,"<[2004, 2006)>",107,1.0
1568,630,directed,"<[2004, 2006)>",108,1.0
1568,1257,directed,"<[2004, 2006)>",109,1.0
1568,561,directed,"<[2004, 2006)>",110,1.0
1568,1675,directed,"<[2004, 2006)>",111,1.0
1568,1056,directed,"<[2004, 2006)>",113,1.0
1568,105,directed,"<[2004, 2006)>",114,1.0
1568,100,directed,"<[2004, 2006)>",115,1.0
1568,351,directed,"<[2004, 2006)>",116,1.0
1568,9,directed,"<[2004, 2006)>",117,1.0
1568,1435,directed,"<[2004, 2006)>",119,1.0
1568,1030,directed,"<[2004, 2006)>",124,1.0
1568,1437,directed,"<[2004, 2006)>",129,1.0
1568,1391,directed,"<[2004, 2006)>",130,1.0
1568,1030,directed,"<[2004, 2006)>",131,1.0
1568,1437,directed,"<[2004, 2006)>",132,1.0
1568,100,directed,"<[2004, 2006)>",133,1.0
1568,1391,directed,"<[2004, 2006)>",134,1.0
315,1669,directed,"<[2004, 2006)>",136,1.0
