Id,Label,Troll
2,Hitachi Semiconductor (America) Inc.,0
5,Solar Physics Corporation,1
6,Techsearch L L C,1
8,Plasma Physics Corporation,1
32,Mitsubishi Electric Corporation,0
47,"Lemelson Medical, Education & Research Foundation Limited Partnership",1
51,EIP Licensing B.V.,1
53,"Apple Computer, Inc.",0
72,Digcom Inc,1
79,"Hollywood Tans, Inc.",0
91,Rates Technology Inc.,1
106,Patent Category Corporation,1
143,Pinpoint Incorporated,1
144,Verve L. L. C.,1
159,Canon Inc.,0
160,sharp,0
176,Technology Licensing Corporation,1
181,"Personalized Media Communications, L.L.C.",1
191,Edizone,1
227,wal-mart,0
245,"Technology Innovations, LLC",1
249,Microsoft Corporation,0
266,Compaq Computer Corporation,0
267,toshiba,0
286,Tristrata Technology Inc.,1
303,Elonex IP Holdings LTD,1
364,"Automotive Technologies International, Inc.",1
369,amazon.com,0
381,Digital Development Corporation,1
386,"Multi-Format, Inc.",1
391,Target Corporation,0
393,"William Reber, L.L.C.",1
396,"Walker Marketing, Inc.",1
423,St. Clair Intellectual Property Consultants Inc.,1
424,"Phonetel Communications, Inc.",1
432,"Hitachi, Ltd.",0
441,Papst Licensing GmbH & Co. (KG),1
450,Ronald A Katz Technology Licensing L P,1
459,"E-Pass Technologies, Inc.",1
474,Rambus Inc.,1
486,samsung,0
487,kyocera,0
492,"Sears, Roebuck and Co",0
514,"NEC Technologies, Inc.",0
526,"LG Electronics, Inc.",0
544,"Realnetworks, Inc.",0
554,"Laughlin Products, Inc.",1
558,verizon,0
560,"Thomson Consumer Electronics, Inc.",0
561,"Donner, Inc.",1
575,Advantage Partners LLC,1
579,"Charles E. Hill & Associates, Inc.",1
581,Dolly McShain,0
587,"Datascape, Inc.",1
590,Hewlett-Packard Company,0
597,IP Innovation LLC,1
599,motorola,0
602,Patriot Scientific Corporation,1
613,"IP Global, Ltd.",1
616,Walgreen Co.,0
620,Bob Johnson,0
626,NEC Corporation,0
641,"MLR, LLC",1
