Source,Target,Type,TimeInterval,Label,Category
1465,5560,directed,"<[2002, 2004)>",2,5.0
1465,3037,directed,"<[2002, 2004)>",3,5.0
1465,4891,directed,"<[2002, 2004)>",4,5.0
1465,4248,directed,"<[2002, 2004)>",6,5.0
1465,4904,directed,"<[2002, 2004)>",7,5.0
1465,2304,directed,"<[2002, 2004)>",8,5.0
1465,5556,directed,"<[2002, 2004)>",9,5.0
1465,880,directed,"<[2002, 2004)>",10,5.0
1465,2860,directed,"<[2002, 2004)>",11,5.0
1465,5409,directed,"<[2002, 2004)>",12,5.0
1465,2485,directed,"<[2002, 2004)>",13,5.0
1465,4355,directed,"<[2002, 2004)>",14,5.0
1465,3903,directed,"<[2002, 2004)>",16,5.0
1465,667,directed,"<[2002, 2004)>",17,5.0
6067,470,directed,"<[2002, 2004)>",19,1.0
4371,470,directed,"<[2002, 2004)>",20,1.0
5274,3719,directed,"<[2002, 2004)>",22,5.0
729,6085,directed,"<[2002, 2004)>",25,5.0
729,3632,directed,"<[2002, 2004)>",26,5.0
729,2318,directed,"<[2002, 2004)>",27,5.0
729,277,directed,"<[2002, 2004)>",29,5.0
729,811,directed,"<[2002, 2004)>",30,5.0
5854,315,directed,"<[2002, 2004)>",31,1.0
5854,34,directed,"<[2002, 2004)>",32,1.0
5854,2824,directed,"<[2002, 2004)>",33,1.0
5378,5213,directed,"<[2002, 2004)>",36,5.0
5378,1219,directed,"<[2002, 2004)>",37,5.0
5378,1395,directed,"<[2002, 2004)>",39,5.0
5032,5534,directed,"<[2002, 2004)>",40,5.0
1532,4721,directed,"<[2002, 2004)>",41,5.0
729,423,directed,"<[2002, 2004)>",42,5.0
729,6085,directed,"<[2002, 2004)>",44,5.0
5311,2180,directed,"<[2002, 2004)>",46,5.0
5274,1927,directed,"<[2004, 2006)>",48,5.0
5274,817,directed,"<[2004, 2006)>",49,5.0
5274,5769,directed,"<[2004, 2006)>",50,5.0
5274,3911,directed,"<[2004, 2006)>",51,5.0
5274,4491,directed,"<[2004, 2006)>",52,5.0
5274,2936,directed,"<[2004, 2006)>",53,5.0
5274,3719,directed,"<[2004, 2006)>",55,5.0
4472,5585,directed,"<[2004, 2006)>",57,1.0
4472,4010,directed,"<[2004, 2006)>",58,1.0
4472,135,directed,"<[2004, 2006)>",59,1.0
4472,314,directed,"<[2004, 2006)>",60,1.0
4472,1031,directed,"<[2004, 2006)>",61,1.0
4472,5950,directed,"<[2004, 2006)>",62,1.0
4472,5873,directed,"<[2004, 2006)>",63,1.0
4472,4185,directed,"<[2004, 2006)>",64,1.0
4472,2051,directed,"<[2004, 2006)>",65,1.0
5472,2166,directed,"<[2004, 2006)>",66,4.0
4472,5911,directed,"<[2004, 2006)>",68,1.0
4472,4965,directed,"<[2004, 2006)>",70,1.0
4472,4709,directed,"<[2004, 2006)>",74,1.0
4472,2304,directed,"<[2004, 2006)>",77,1.0
4472,4024,directed,"<[2004, 2006)>",78,1.0
4472,975,directed,"<[2004, 2006)>",79,1.0
447,3142,directed,"<[2004, 2006)>",80,1.0
1743,2022,directed,"<[2004, 2006)>",82,5.0
3644,4878,directed,"<[2004, 2006)>",83,1.0
3644,904,directed,"<[2004, 2006)>",84,1.0
3644,4359,directed,"<[2004, 2006)>",85,1.0
3644,363,directed,"<[2004, 2006)>",86,1.0
3644,2850,directed,"<[2004, 2006)>",88,1.0
3644,5556,directed,"<[2004, 2006)>",89,1.0
3644,4466,directed,"<[2004, 2006)>",90,1.0
3644,321,directed,"<[2004, 2006)>",92,1.0
5269,1322,directed,"<[2004, 2006)>",94,5.0
269,3037,directed,"<[2004, 2006)>",95,1.0
269,5556,directed,"<[2004, 2006)>",96,1.0
5030,740,directed,"<[2004, 2006)>",97,5.0
5030,6043,directed,"<[2004, 2006)>",98,5.0
5030,4891,directed,"<[2004, 2006)>",99,5.0
5030,2022,directed,"<[2004, 2006)>",100,5.0
5030,1101,directed,"<[2004, 2006)>",103,5.0
1358,5860,directed,"<[2004, 2006)>",105,1.0
1358,3111,directed,"<[2004, 2006)>",107,1.0
1358,3633,directed,"<[2004, 2006)>",108,1.0
1358,1099,directed,"<[2004, 2006)>",109,1.0
1358,470,directed,"<[2004, 2006)>",110,1.0
1358,1484,directed,"<[2004, 2006)>",111,1.0
1358,2166,directed,"<[2004, 2006)>",112,1.0
1358,4024,directed,"<[2004, 2006)>",113,1.0
1358,3177,directed,"<[2004, 2006)>",114,1.0
1358,4709,directed,"<[2004, 2006)>",115,1.0
1358,3409,directed,"<[2004, 2006)>",116,1.0
1358,7,directed,"<[2004, 2006)>",117,1.0
1358,2816,directed,"<[2004, 2006)>",119,1.0
1358,5863,directed,"<[2004, 2006)>",120,1.0
