Source,Target,Type,TimeInterval,Label,Category
1223,4691,directed,"<[2002, 2004)>",2,5.0
1223,2563,directed,"<[2002, 2004)>",3,5.0
1223,4130,directed,"<[2002, 2004)>",4,5.0
1223,3585,directed,"<[2002, 2004)>",6,5.0
1223,4140,directed,"<[2002, 2004)>",7,5.0
1223,1929,directed,"<[2002, 2004)>",8,5.0
1223,4687,directed,"<[2002, 2004)>",9,5.0
1223,733,directed,"<[2002, 2004)>",10,5.0
1223,2411,directed,"<[2002, 2004)>",11,5.0
1223,4563,directed,"<[2002, 2004)>",12,5.0
1223,2081,directed,"<[2002, 2004)>",13,5.0
1223,3678,directed,"<[2002, 2004)>",14,5.0
1223,3287,directed,"<[2002, 2004)>",16,5.0
1223,554,directed,"<[2002, 2004)>",17,5.0
5126,392,directed,"<[2002, 2004)>",19,1.0
3690,392,directed,"<[2002, 2004)>",20,1.0
4448,3139,directed,"<[2002, 2004)>",22,5.0
612,5140,directed,"<[2002, 2004)>",25,5.0
612,3060,directed,"<[2002, 2004)>",26,5.0
612,1941,directed,"<[2002, 2004)>",27,5.0
612,228,directed,"<[2002, 2004)>",29,5.0
612,675,directed,"<[2002, 2004)>",30,5.0
4945,257,directed,"<[2002, 2004)>",31,1.0
4945,28,directed,"<[2002, 2004)>",32,1.0
4945,2377,directed,"<[2002, 2004)>",33,1.0
4535,4400,directed,"<[2002, 2004)>",36,5.0
4535,1020,directed,"<[2002, 2004)>",37,5.0
4535,1166,directed,"<[2002, 2004)>",39,5.0
4245,4667,directed,"<[2002, 2004)>",40,5.0
1282,3990,directed,"<[2002, 2004)>",41,5.0
612,351,directed,"<[2002, 2004)>",42,5.0
612,5140,directed,"<[2002, 2004)>",44,5.0
4478,1822,directed,"<[2002, 2004)>",46,5.0
4448,1613,directed,"<[2004, 2006)>",48,5.0
4448,679,directed,"<[2004, 2006)>",49,5.0
4448,4872,directed,"<[2004, 2006)>",50,5.0
4448,3294,directed,"<[2004, 2006)>",51,5.0
4448,3797,directed,"<[2004, 2006)>",52,5.0
4448,2478,directed,"<[2004, 2006)>",53,5.0
4448,3139,directed,"<[2004, 2006)>",55,5.0
3778,4714,directed,"<[2004, 2006)>",57,1.0
3778,3382,directed,"<[2004, 2006)>",58,1.0
3778,114,directed,"<[2004, 2006)>",59,1.0
3778,256,directed,"<[2004, 2006)>",60,1.0
3778,862,directed,"<[2004, 2006)>",61,1.0
3778,5029,directed,"<[2004, 2006)>",62,1.0
3778,4959,directed,"<[2004, 2006)>",63,1.0
3778,3530,directed,"<[2004, 2006)>",64,1.0
3778,1722,directed,"<[2004, 2006)>",65,1.0
4613,1809,directed,"<[2004, 2006)>",66,4.0
3778,4993,directed,"<[2004, 2006)>",68,1.0
3778,4187,directed,"<[2004, 2006)>",70,1.0
3778,3980,directed,"<[2004, 2006)>",74,1.0
3778,1929,directed,"<[2004, 2006)>",77,1.0
3778,3394,directed,"<[2004, 2006)>",78,1.0
3778,816,directed,"<[2004, 2006)>",79,1.0
372,2647,directed,"<[2004, 2006)>",80,1.0
1458,1696,directed,"<[2004, 2006)>",82,5.0
3069,4120,directed,"<[2004, 2006)>",83,1.0
3069,752,directed,"<[2004, 2006)>",84,1.0
3069,3681,directed,"<[2004, 2006)>",85,1.0
3069,302,directed,"<[2004, 2006)>",86,1.0
3069,4687,directed,"<[2004, 2006)>",89,1.0
3069,3772,directed,"<[2004, 2006)>",90,1.0
3069,262,directed,"<[2004, 2006)>",92,1.0
4445,1107,directed,"<[2004, 2006)>",94,5.0
220,2563,directed,"<[2004, 2006)>",95,1.0
220,4687,directed,"<[2004, 2006)>",96,1.0
4243,621,directed,"<[2004, 2006)>",97,5.0
4243,5106,directed,"<[2004, 2006)>",98,5.0
4243,4130,directed,"<[2004, 2006)>",99,5.0
4243,1696,directed,"<[2004, 2006)>",100,5.0
4243,923,directed,"<[2004, 2006)>",103,5.0
1136,4949,directed,"<[2004, 2006)>",105,1.0
1136,2621,directed,"<[2004, 2006)>",107,1.0
1136,3061,directed,"<[2004, 2006)>",108,1.0
1136,921,directed,"<[2004, 2006)>",109,1.0
1136,392,directed,"<[2004, 2006)>",110,1.0
1136,1240,directed,"<[2004, 2006)>",111,1.0
1136,1809,directed,"<[2004, 2006)>",112,1.0
1136,3394,directed,"<[2004, 2006)>",113,1.0
1136,2678,directed,"<[2004, 2006)>",114,1.0
1136,3980,directed,"<[2004, 2006)>",115,1.0
1136,2878,directed,"<[2004, 2006)>",116,1.0
1136,5,directed,"<[2004, 2006)>",117,1.0
1136,2370,directed,"<[2004, 2006)>",119,1.0
1136,4952,directed,"<[2004, 2006)>",120,1.0
1136,4409,directed,"<[2004, 2006)>",121,1.0
1136,4693,directed,"<[2004, 2006)>",122,1.0
1136,4631,directed,"<[2004, 2006)>",124,1.0
